"","dataSource","subject_id","activity","variable","mean"
"199","training",5,"STANDING","frequency_body_acceleration_mean_x",-0.55123770513245
"200","training",5,"STANDING","frequency_body_acceleration_mean_y",-0.440232431795033
"201","training",5,"STANDING","frequency_body_acceleration_mean_z",-0.696171811490066
"202","training",5,"STANDING","frequency_body_acceleration_std_x",-0.492829885748675
"203","training",5,"STANDING","frequency_body_acceleration_std_y",-0.422162171100331
"204","training",5,"STANDING","frequency_body_acceleration_std_z",-0.649351210748344
"205","training",5,"STANDING","frequency_body_acceleration_mean_freq_x",-0.226370689942053
"206","training",5,"STANDING","frequency_body_acceleration_mean_freq_y",0.0748636861897351
"207","training",5,"STANDING","frequency_body_acceleration_mean_freq_z",0.0062663175707947
"208","training",5,"STANDING","frequency_body_acceleration_jerk_mean_x",-0.604769869438742
"209","training",5,"STANDING","frequency_body_acceleration_jerk_mean_y",-0.550991969857417
"210","training",5,"STANDING","frequency_body_acceleration_jerk_mean_z",-0.768762357980132
"211","training",5,"STANDING","frequency_body_acceleration_jerk_std_x",-0.584013626983444
"212","training",5,"STANDING","frequency_body_acceleration_jerk_std_y",-0.491500434303907
"213","training",5,"STANDING","frequency_body_acceleration_jerk_std_z",-0.798835563807947
"214","training",5,"STANDING","frequency_body_acceleration_jerk_mean_freq_x",-0.10292084499106
"215","training",5,"STANDING","frequency_body_acceleration_jerk_mean_freq_y",-0.27429092242043
"216","training",5,"STANDING","frequency_body_acceleration_jerk_mean_freq_z",-0.163706246351656
"217","training",5,"STANDING","frequency_body_gyro_mean_x",-0.632239300829801
"218","training",5,"STANDING","frequency_body_gyro_mean_y",-0.71706218781457
"219","training",5,"STANDING","frequency_body_gyro_mean_z",-0.537329127293278
"220","training",5,"STANDING","frequency_body_gyro_std_x",-0.73573857718543
"221","training",5,"STANDING","frequency_body_gyro_std_y",-0.702290390960265
"222","training",5,"STANDING","frequency_body_gyro_std_z",-0.669353687483444
"223","training",5,"STANDING","frequency_body_gyro_mean_freq_x",-0.0381646986649007
"224","training",5,"STANDING","frequency_body_gyro_mean_freq_y",-0.0720666007195695
"225","training",5,"STANDING","frequency_body_gyro_mean_freq_z",0.0744028987918874
"226","training",5,"STANDING","frequency_body_acceleration_magnitude_mean",-0.528503022745033
"227","training",5,"STANDING","frequency_body_acceleration_magnitude_std",-0.594259529756954
"228","training",5,"STANDING","frequency_body_acceleration_magnitude_mean_freq",0.0781455594845364
"229","training",5,"STANDING","frequency_body_body_acceleration_jerk_magnitude_mean",-0.573176177044172
"230","training",5,"STANDING","frequency_body_body_acceleration_jerk_magnitude_std",-0.613485123609272
"231","training",5,"STANDING","frequency_body_body_acceleration_jerk_magnitude_mean_freq",0.131619298935099
"232","training",5,"STANDING","frequency_body_body_gyro_magnitude_mean",-0.677355755703311
"233","training",5,"STANDING","frequency_body_body_gyro_magnitude_std",-0.715731148145695
"234","training",5,"STANDING","frequency_body_body_gyro_magnitude_mean_freq",0.062219113935298
"235","training",5,"STANDING","frequency_body_body_gyro_jerk_magnitude_mean",-0.748829309536424
"236","training",5,"STANDING","frequency_body_body_gyro_jerk_magnitude_std",-0.735610602483444
"237","training",5,"STANDING","frequency_body_body_gyro_jerk_magnitude_mean_freq",0.0307564556565894
"238","training",6,"STANDING","time_body_acceleration_mean_x",0.272376614181538
"239","training",6,"STANDING","time_body_acceleration_mean_y",-0.0175697042641846
"240","training",6,"STANDING","time_body_acceleration_mean_z",-0.11599454136
"241","training",6,"STANDING","time_body_acceleration_std_x",-0.505086085072062
"242","training",6,"STANDING","time_body_acceleration_std_y",-0.368403670137262
"243","training",6,"STANDING","time_body_acceleration_std_z",-0.672512004586708
"244","training",6,"STANDING","time_gravity_acceleration_mean_x",0.688702063569231
"245","training",6,"STANDING","time_gravity_acceleration_mean_y",0.0162055455953846
"246","training",6,"STANDING","time_gravity_acceleration_mean_z",0.0475199990906462
"247","training",6,"STANDING","time_gravity_acceleration_std_x",-0.958898709015385
"248","training",6,"STANDING","time_gravity_acceleration_std_y",-0.9509348864
"249","training",6,"STANDING","time_gravity_acceleration_std_z",-0.937910223507692
"250","training",6,"STANDING","time_body_acceleration_jerk_mean_x",0.0813833604034769
"251","training",6,"STANDING","time_body_acceleration_jerk_mean_y",0.000479281129661539
"252","training",6,"STANDING","time_body_acceleration_jerk_mean_z",-0.00225896302076923
"253","training",6,"STANDING","time_body_acceleration_jerk_std_x",-0.531468310262154
"254","training",6,"STANDING","time_body_acceleration_jerk_std_y",-0.454437496885815
"255","training",6,"STANDING","time_body_acceleration_jerk_std_z",-0.738955207627692
"256","training",6,"STANDING","time_body_gyro_mean_x",-0.0433611785374462
"257","training",6,"STANDING","time_body_gyro_mean_y",-0.0706129097498462
"258","training",6,"STANDING","time_body_gyro_mean_z",0.0973130293888923
"259","training",6,"STANDING","time_body_gyro_std_x",-0.653800660041538
"260","training",6,"STANDING","time_body_gyro_std_y",-0.626252072652308
"261","training",6,"STANDING","time_body_gyro_std_z",-0.599910232855692
"262","training",6,"STANDING","time_body_gyro_jerk_mean_x",-0.0829159966093231
"263","training",6,"STANDING","time_body_gyro_jerk_mean_y",-0.0454921005615385
"264","training",6,"STANDING","time_body_gyro_jerk_mean_z",-0.0533610323667692
"265","training",6,"STANDING","time_body_gyro_jerk_std_x",-0.546009968372308
"266","training",6,"STANDING","time_body_gyro_jerk_std_y",-0.677635980501539
"267","training",6,"STANDING","time_body_gyro_jerk_std_z",-0.526908306306892
"268","training",6,"STANDING","time_body_acceleration_magnitude_mean",-0.464770006998123
"269","training",6,"STANDING","time_body_acceleration_magnitude_std",-0.483790606354154
"270","training",6,"STANDING","time_gravity_acceleration_magnitude_mean",-0.464770006998123
"271","training",6,"STANDING","time_gravity_acceleration_magnitude_std",-0.483790606354154
"272","training",6,"STANDING","time_body_acceleration_jerk_magnitude_mean",-0.551413652396923
"273","training",6,"STANDING","time_body_acceleration_jerk_magnitude_std",-0.502935062310769
"274","training",6,"STANDING","time_body_gyro_magnitude_mean",-0.549494852037046
"275","training",6,"STANDING","time_body_gyro_magnitude_std",-0.579837818063692
"276","training",6,"STANDING","time_body_gyro_jerk_magnitude_mean",-0.621936158532308
"277","training",6,"STANDING","time_body_gyro_jerk_magnitude_std",-0.644474485460492
"278","training",6,"STANDING","frequency_body_acceleration_mean_x",-0.506174926221538
"279","training",6,"STANDING","frequency_body_acceleration_mean_y",-0.392041410138769
"280","training",6,"STANDING","frequency_body_acceleration_mean_z",-0.683725945015385
"281","training",6,"STANDING","frequency_body_acceleration_std_x",-0.506680276530492
"282","training",6,"STANDING","frequency_body_acceleration_std_y",-0.396677793847908
"283","training",6,"STANDING","frequency_body_acceleration_std_z",-0.694365207233846
"284","training",6,"STANDING","frequency_body_acceleration_mean_freq_x",-0.191537066813538
"285","training",6,"STANDING","frequency_body_acceleration_mean_freq_y",0.0590114878605846
"286","training",6,"STANDING","frequency_body_acceleration_mean_freq_z",0.113046089288708
"287","training",6,"STANDING","frequency_body_acceleration_jerk_mean_x",-0.549394273848923
"288","training",6,"STANDING","frequency_body_acceleration_jerk_mean_y",-0.503558973703692
"289","training",6,"STANDING","frequency_body_acceleration_jerk_mean_z",-0.720867157741538
"290","training",6,"STANDING","frequency_body_acceleration_jerk_std_x",-0.555346159400332
"291","training",6,"STANDING","frequency_body_acceleration_jerk_std_y",-0.437837459287385
"292","training",6,"STANDING","frequency_body_acceleration_jerk_std_z",-0.755751144098462
"293","training",6,"STANDING","frequency_body_acceleration_jerk_mean_freq_x",-0.0956140259974462
"294","training",6,"STANDING","frequency_body_acceleration_jerk_mean_freq_y",-0.305422668448923
"295","training",6,"STANDING","frequency_body_acceleration_jerk_mean_freq_z",-0.1006823905788
"296","training",6,"STANDING","frequency_body_gyro_mean_x",-0.537201442069846
"297","training",6,"STANDING","frequency_body_gyro_mean_y",-0.621188724858462
"298","training",6,"STANDING","frequency_body_gyro_mean_z",-0.507604207506462
"299","training",6,"STANDING","frequency_body_gyro_std_x",-0.692862440004
"300","training",6,"STANDING","frequency_body_gyro_std_y",-0.633236229753846
"301","training",6,"STANDING","frequency_body_gyro_std_z",-0.67302031484
"302","training",6,"STANDING","frequency_body_gyro_mean_freq_x",0.0289087194733538
"303","training",6,"STANDING","frequency_body_gyro_mean_freq_y",-0.0427900206246154
"304","training",6,"STANDING","frequency_body_gyro_mean_freq_z",0.101044783556
"305","training",6,"STANDING","frequency_body_acceleration_magnitude_mean",-0.473974924380431
"306","training",6,"STANDING","frequency_body_acceleration_magnitude_std",-0.570910289993846
"307","training",6,"STANDING","frequency_body_acceleration_magnitude_mean_freq",0.102346682227846
"308","training",6,"STANDING","frequency_body_body_acceleration_jerk_magnitude_mean",-0.494882316238462
"309","training",6,"STANDING","frequency_body_body_acceleration_jerk_magnitude_std",-0.516711262173969
"310","training",6,"STANDING","frequency_body_body_acceleration_jerk_magnitude_mean_freq",0.0831165453227692
"311","training",6,"STANDING","frequency_body_body_gyro_magnitude_mean",-0.579130051151385
"312","training",6,"STANDING","frequency_body_body_gyro_magnitude_std",-0.657368673849846
"313","training",6,"STANDING","frequency_body_body_gyro_magnitude_mean_freq",0.104193397607938
"314","training",6,"STANDING","frequency_body_body_gyro_jerk_magnitude_mean",-0.651886909221538
"315","training",6,"STANDING","frequency_body_body_gyro_jerk_magnitude_std",-0.660175875210246
"316","training",6,"STANDING","frequency_body_body_gyro_jerk_magnitude_mean_freq",0.081817622852
"317","training",7,"SITTING","time_body_acceleration_mean_x",0.26975303484739
"318","training",7,"SITTING","time_body_acceleration_mean_y",-0.0197172891035341
"319","training",7,"SITTING","time_body_acceleration_mean_z",-0.113423584203213
"320","training",7,"SITTING","time_body_acceleration_std_x",-0.485187847278715
"321","training",7,"SITTING","time_body_acceleration_std_y",-0.456689568218876
"322","training",7,"SITTING","time_body_acceleration_std_z",-0.352185504281727
"323","training",7,"SITTING","time_gravity_acceleration_mean_x",0.642454313855422
"324","training",7,"SITTING","time_gravity_acceleration_mean_y",-0.0456977800429719
"325","training",7,"SITTING","time_gravity_acceleration_mean_z",0.0394602698100442
"326","training",7,"SITTING","time_gravity_acceleration_std_x",-0.957858092349398
"327","training",7,"SITTING","time_gravity_acceleration_std_y",-0.955033427429719
"328","training",7,"SITTING","time_gravity_acceleration_std_z",-0.927020792851406
"329","training",7,"SITTING","time_body_acceleration_jerk_mean_x",0.0836716912514056
"330","training",7,"SITTING","time_body_acceleration_jerk_mean_y",0.00696488153534137
"331","training",7,"SITTING","time_body_acceleration_jerk_mean_z",-0.00864496194248996
"332","training",7,"SITTING","time_body_acceleration_jerk_std_x",-0.528796993420683
"333","training",7,"SITTING","time_body_acceleration_jerk_std_y",-0.540023028026908
"334","training",7,"SITTING","time_body_acceleration_jerk_std_z",-0.591928672239679
"335","training",7,"SITTING","time_body_gyro_mean_x",-0.056196167979759
"336","training",7,"SITTING","time_body_gyro_mean_y",-0.059643871854739
"337","training",7,"SITTING","time_body_gyro_mean_z",0.102900904185984
"338","training",7,"SITTING","time_body_gyro_std_x",-0.625450021895582
"339","training",7,"SITTING","time_body_gyro_std_y",-0.581579749100402
"340","training",7,"SITTING","time_body_gyro_std_z",-0.594305602899598
"341","training",7,"SITTING","time_body_gyro_jerk_mean_x",-0.0941973969615502
"342","training",7,"SITTING","time_body_gyro_jerk_mean_y",-0.0422900145865462
"343","training",7,"SITTING","time_body_gyro_jerk_mean_z",-0.0636891701071486
"344","training",7,"SITTING","time_body_gyro_jerk_std_x",-0.637273681522892
"345","training",7,"SITTING","time_body_gyro_jerk_std_y",-0.603126605369076
"346","training",7,"SITTING","time_body_gyro_jerk_std_z",-0.695385495875502
"347","training",7,"SITTING","time_body_acceleration_magnitude_mean",-0.412083624852209
"348","training",7,"SITTING","time_body_acceleration_magnitude_std",-0.416915340874819
"349","training",7,"SITTING","time_gravity_acceleration_magnitude_mean",-0.412083624852209
"350","training",7,"SITTING","time_gravity_acceleration_magnitude_std",-0.416915340874819
"351","training",7,"SITTING","time_body_acceleration_jerk_magnitude_mean",-0.539232472351526
"352","training",7,"SITTING","time_body_acceleration_jerk_magnitude_std",-0.451218703495582
"353","training",7,"SITTING","time_body_gyro_magnitude_mean",-0.501441433911647
"354","training",7,"SITTING","time_body_gyro_magnitude_std",-0.523579608066265
